username,public_repos,followers,following,total_stars,total_forks
0vm,11,10277,2,696,79
3b1b,9,39204,0,96025,9575
521xueweihan,165,11938,186,129,49
abuanwar072,83,13291,1,12700,5419
acdlite,74,14884,0,2090,200
acenelio,290,13614,1,100,51
adamwathan,178,13145,12,1158,258
addyosmani,351,45086,265,12086,1798
adrianhajdin,152,36277,0,16250,5032
agentzh,68,11829,3,426,119
ageron,89,17067,5,359,169
akitaonrails,136,12274,4,1076,130
alex,494,10499,38,129,22
AlexTheAnalyst,18,20456,0,5878,4047
AllenDowney,160,10771,1,1198,665
amueller,201,11086,44,1230,510
aneagoie,147,10670,1,339,386
angelabauer,47,20309,0,559,358
angusshire,18,12939,227618,2124,303
antfu,387,38583,397,4121,510
antirez,103,25885,4,16060,2565
anuraghazra,139,14634,126,1796,3113
apache,2845,21380,0,4348,2784
Asabeneh,182,20823,21,135770,29996
ashishpatel26,2083,10865,471,56701,11323
ashishps1,41,12141,16,80748,18516
astaxie,83,15080,22,48518,11312
atilsamancioglu,529,16539,4,93,161
AUTOMATIC1111,43,17539,0,163150,30633
bailicangdu,22,13759,20,87040,26109
bchiang7,63,10532,13,1425,536
bedimcode,164,12267,0,1053,264
benawad,256,29057,4,1132,449
benbalter,249,10324,149,324,340
BEPb,43,24599,26220,4539,1061
bojone,108,12323,0,10267,2113
bradfitz,157,13133,41,2311,227
bradtraversy,310,75528,9,43782,14119
breakwa11,8,13205,0,3762,1050
brianyu28,38,13938,15,260,87
brunosimon,82,21416,0,6106,1307
btholt,173,13382,77,6432,3971
buckyroberts,45,27060,22,3284,2436
BurntSushi,181,11825,3,5240,470
bvaughn,169,11581,1,669,89
BYVoid,44,12664,134,10297,1229
campusx-official,223,10878,0,3387,3086
cassidoo,184,14585,105,1415,169
Charles-Chrismann,27,15803,28,335,28
chenshuo,55,10836,8,17369,5789
chiphuyen,30,21791,6,53101,11028
chrisbanes,54,18871,4,25270,8051
chriscoyier,58,10955,290,633,133
ChristianLempa,14,11340,36,16374,4175
ChrisTitusTech,83,14360,36,4343,1690
cloudwu,138,21576,2,4479,1235
Code-Bullet,25,13897,0,4853,1639
codediodeio,65,23036,89,3328,1786
CodeWithHarry,40,39469,0,16140,6254
codingforentrepreneurs,223,16962,1,3928,2118
CoreyMSchafer,21,13370,5,11845,18183
craftzdog,161,11541,60,241,51
cumsoft,8,18386,175525,308,35
CyC2018,7,14731,5,190477,53215
daimajia,92,24918,273,39280,8785
danielmiessler,77,14119,124,40427,4250
davidfowl,282,14116,9,979,123
defunkt,107,22627,215,8646,1524
developedbyed,20,20440,4,3340,2405
developit,343,12939,378,668,28
diego3g,75,32605,89,3405,1030
DIYgod,93,15654,447,8601,1290
django,30,9247,0,103237,37218
dmalan,22,35650,6,719,201
donnemartin,27,23322,5,434575,71610
douglascrockford,20,21929,2,12570,5037
draveness,50,13194,28,14323,2679
easychen,258,12160,32,1866,172
egoist,806,13216,25,678,96
elder-plinius,43,10678,0,31544,4946
Elfocrash,49,11759,0,9026,1282
elidianaandrade,7,12408,122,12126,3456
elyxdev,14,26672,0,160,4059
engindemirog,73,10800,0,664,71
ErickWendel,329,10725,96,515,73
esin,52,18108,190879,582,41
eust-w,157,14885,40,77,16
evanw,125,13938,36,42004,1637
f,276,10366,156,465,118
fabpot,84,13350,0,229,46
fchollet,16,17786,0,36350,13302
fengdu78,17,13750,16,89658,28663
feross,148,14771,297,5513,578
filipedeschamps,22,39177,7595,14450,2319
florinpop17,100,15457,35,93442,11263
ForrestKnight,42,15362,4,26153,4902
fouber,172,11289,77,22738,2381
frontend-joe,99,10826,2,1809,472
gaearon,294,90358,174,1590,150
gamemann,176,28399,89774,349,15
geerlingguy,309,26269,64,14201,5660
geohot,100,45964,0,5352,972
george0st,26,13481,75029,2639,81
getify,75,45028,3,23230,2384
ggerganov,71,18717,13,9380,645
gitdagray,175,13119,1,3238,2391
goodfeli,19,14621,4,8395,2371
gopinav,81,15693,1,1591,1867
guido,13,17,121,24,0
gustavoguanabara,8,109311,3,28781,6564
gvanrossum,27,25653,5,2519,247
hadley,220,26514,0,3526,1931
hakimel,31,12687,28,95001,21047
halfrost,34,17417,364,48405,8189
haoel,24,12722,32,31875,7151
hiteshchoudhary,118,54847,0,33610,5193
hkirat,155,23773,117,3097,926
hongyangAndroid,102,13019,35,21997,6960
htr-tech,31,12387,15,9313,1556
iam-veeramalla,85,29223,1,23101,31601
iampawan,254,11523,2,1261,645
iamshaunjp,147,32301,1,4480,3916
ibireme,23,12244,62,41811,9050
idimetrix,4275,15084,238042,1,0
IDouble,61,49604,501834,2371,382
in28minutes,105,15192,0,7858,13031
isaacs,481,15961,4,319,78
jackfrued,138,17053,7,209,103
JacksonTian,272,21348,208,1703,310
jadijadi,106,22578,58,2361,353
jakearchibald,247,11490,4,515,105
jakevdp,239,18999,6,519,235
JakeWharton,149,68172,9,38197,8791
jart,228,11230,126,8124,338
jashkenas,23,13330,0,78621,13798
JeffreyWay,67,17211,0,1181,400
jeresig,111,18979,30,130,38
jessfraz,148,13570,60,1998,347
jhaddix,77,11330,2,1912,587
jlord,171,16550,30,192,57
john-smilga,262,20685,0,502,272
JohnHammond,73,12486,13,3850,722
JohnMwendwa,112,35051,38294,781,23
johnpapa,154,15374,1,26451,6140
jonasschmedtmann,7,28425,0,32764,31801
jonhoo,263,13230,5,1669,123
josevalim,67,16011,11,583,31
jrohitofficial,89,12724,4859,234,18
justjavac,415,17171,88,3814,715
jvns,198,10664,72,222,15
jwasham,30,25859,6,351758,85719
KalleHallden,58,11659,5,1845,808
kamranahmedse,110,39286,198,424775,50677
karpathy,61,132691,8,235758,31573
keijiro,907,23375,0,7954,881
kelseyhightower,196,23770,13,10733,1933
kenjinote,668,21129,56371,122,11
kennethreitz,74,29731,222,2130,300
kentcdodds,743,34615,49,4427,1020
kevin-powell,113,12714,0,641,465
Klerith,561,14924,3,355,1563
knadh,63,12758,0,10107,857
krishnaik06,345,40434,0,4901,3087
kubowania,140,15494,37,1638,1118
kunal-kushwaha,47,36466,0,28482,15621
Kwynto,19,14311,7,1392,84
laruence,27,12257,17,10711,2648
LaurieWired,36,10742,0,14514,1116
LeaVerou,106,16170,45,16739,2237
leerob,36,15566,0,18086,3179
lilianweng,19,11275,0,5150,1367
liyupi,96,21319,30,19638,4051
lllyasviel,51,20963,2,124051,14193
llSourcell,487,36787,4,4585,1970
loiane,220,19564,150,842,415
lucast1574,26,21131,9,192,544
LukeSmithxyz,30,12011,0,19373,6082
lydiahallie,62,14925,0,1269,297
matheusbattisti,165,14741,6,1004,491
mathiasbynens,590,12846,163,120,35
mattn,2141,13194,1697,1919,170
mattt,130,18909,460,7960,572
matz,10,10204,0,4744,250
maykbrito,149,16580,47,778,162
mbostock,88,23341,0,932,92
mcollina,628,10769,472,9212,404
mdo,33,23636,1,17394,2061
meliksahyorulmazlar,16,10736,13,504,32
mgechev,391,10260,0,4657,507
michaelliao,109,38372,3,6487,5136
midudev,215,36498,2,10894,1637
miguelgrinberg,203,12878,0,1278,172
miloyip,29,10760,32,31654,7286
mitchellh,116,20410,0,12129,1433
mitsuhiko,328,23638,25,1918,115
mli,20,23365,1,41738,3850
mnielsen,34,11671,32,18836,7380
mojombo,66,24472,11,10357,2236
MorvanZhou,50,21632,2,3157,1502
mosh-hamedani,32,15231,1,4009,3191
mouredev,52,34300,2,81015,10754
mqyqingfeng,36,11538,2,32521,4931
mrdbourke,72,11375,54,1181,386
mrdoob,52,24784,195,5155,1029
MrXyfir,6,20232,0,206,25
muan,151,11352,67,184,55
munificent,51,10862,144,18840,2215
mustafacagri,40,14392,150784,651,120
necolas,80,11312,29,3345,737
NeuralNine,15,10473,4,3908,1475
nicknochnack,212,13062,4,1451,936
nishant-Tiwari24,77,10808,28,12383,2196
noob-hackers,19,10920,0,19926,2302
numpy,33,1957,0,33372,12929
nzakas,77,10731,0,745,66
octocat,8,21593,9,20802,162539
offensive-security,27,11257,3,17977,5090
onevcat,243,15718,140,2628,241
OracleBrain,45,15074,3270,560,55
Ovilia,66,16001,249,1657,486
pallets,17,2167,0,115608,23045
pandas-dev,15,5098,0,48074,19761
PanJiaChen,72,13432,84,5429,1572
PatrickAlphaC,296,11029,44,848,426
paulirish,380,31780,334,1156,114
peng-zhihui,59,86114,9,51948,10579
peter-kimanzi,117,17103,1170,335,28
philipplackner,311,13082,2,798,338
phodal,376,20499,9,8201,1107
Pierian-Data,31,10715,0,31021,90153
professorguanabara,7,12632,2,1162,125
ProgrammingHero1,996,25150,0,1549,727
programthink,5,22365,0,41699,8455
psf,40,2136,0,42296,3024
QianMo,37,11421,9,31929,8277
rafaballerini,59,58965,30,5066,1494
rakyll,234,12967,0,5682,379
rasbt,146,35492,41,4314,1237
rauchg,140,16455,882,3759,2378
rexim,79,12623,1,1205,91
Rich-Harris,394,20293,0,1030,54
robpike,21,11944,0,4259,315
romainguy,21,10288,1,10216,1432
romannurik,70,10652,24,12941,2798
rsc,157,10932,1,3037,247
ruanyf,75,85400,0,80176,21344
RubyLouvre,129,14763,34,9739,2094
ry,61,33015,40,686,55
samyk,197,11700,1638,1101,274
sandhikagalih,98,18197,22,1800,825
schacon,228,14086,27,516,2291
scikit-learn,16,5233,0,65058,26852
sdras,102,24781,150,39523,3296
SebLague,92,23503,0,14335,3726
Sentdex,51,10270,1,9409,2051
shadcn,225,14998,0,390,34
shahradelahi,119,10788,0,938,31
shanselman,246,12214,34,604,199
shiffman,172,19495,35,678,118
shiftkey,188,10993,52,91,59
shradha-khapra,15,11203,1,1902,1146
simonw,938,12444,141,858,85
simplesteph,71,10388,9,1068,1050
sindresorhus,1132,77384,31,11344,833
skydoves,77,12574,19,31890,2831
Snailclimb,20,10815,123,164214,50143
sofish,43,10486,19,6890,999
sophiebits,176,10406,0,109,13
sorrycc,245,14657,76,41945,5097
soumith,169,13058,419,5678,1651
spf13,113,16253,83,54926,4142
standardgalactic,22713,18236,977524,12,0
steipete,167,27990,102,24450,2700
StephenGrider,123,29064,14,4665,4762
stormzhang,5,15885,91,7386,2467
t3dotgg,127,16612,61,968,146
taniarascia,49,14748,27,5651,1433
tannerlinsley,163,14173,13,142,18
taylorotwell,33,35200,3,1039,191
techwithtim,218,24837,2,2831,1297
TheCherno,38,12703,4,14894,2997
ThePrimeagen,235,47466,5,8660,730
tiangolo,61,30465,7,3646,629
tj,296,51530,45,15032,1091
tjdevries,178,13273,165,3359,205
tomnomnom,105,13576,143,6041,933
topjohnwu,48,11503,0,65711,19212
tpope,85,23121,20,4203,226
tqchen,48,12455,128,640,130
trekhleb,25,17746,6,255134,40106
Trinea,24,17049,38,40638,16557
unclebob,66,14458,1,3353,947
unknwon,46,14378,2,23787,5090
vbuterin,63,13168,1,1081,367
vczh,13,17528,11,3086,711
Visualize-ML,10,22315,0,39255,6973
WebDevSimplified,233,32201,0,1403,695
wesbos,421,35244,31,5585,2622
wesm,130,16053,56,106,20
wycats,314,10307,13,807,91
xiaolai,80,21087,40,5066,2249
XiaomingX,54,11348,42713,4191,458
yangshun,121,13026,294,1915,384
yinwang0,19,13838,2,2106,909
YunaiV,83,12495,66,4237,2169
yyx990803,199,106879,100,3073,303
zenorocha,147,11405,234,15051,1348
