Username,Ranking,Reputation,All_Solved,Easy_Solved,Medium_Solved,Hard_Solved
Tima_,559948,0,247,51,109,87
sethles,77,533,3498,872,1894,732
user6150B,5000001,0,0,0,0,0
SyberCage,91351,2,667,139,364,164
VitVelloreCoder,2012618,-32,63,14,36,13
dancooper,2519,1,1844,533,996,315
reylevig2,5000001,0,0,0,0,0
deanna27,5000001,0,8,3,5,0
mod998244353,542223,15,253,82,134,37
ashishsutar1210,5421,55,1535,408,865,262
c8kbf,1220795,1,120,33,57,30
wa_magnet,99419,22,645,177,357,111
ayushverma3101,5000001,0,10,10,0,0
rudrapratap1,3898809,0,20,5,10,5
b03201008,8394,5,1379,323,772,284
gvamsikris,5000001,0,3,1,2,0
KyouMoKawaii,196994,15,475,126,236,113
charmanders,997452,3,149,42,72,35
dakshmv14,347094,0,345,90,196,59
EmKjp,103847,0,634,162,309,163
TakahiroKarasawa,2290358,0,51,10,31,10
sumanps,5000001,0,2,1,1,0
MizarHo,1154,0,2245,555,1186,504
killerlt,5000001,0,0,0,0,0
Mamba_Feng,2047,3,1946,606,1045,295
huanglanzhiguan,490,7,2684,603,1415,666
A_Pinterest_Employee,4810,34,1581,530,874,177
vinaypaibh,1217019,0,120,42,72,6
sashant78,5000001,0,2,2,0,0
Alekhya_Oruganti,806159,0,182,60,112,10
princes33,5000001,0,0,0,0,0
shubhambhadada7,99423,2,645,164,390,91
abdullahElkhteeb2002,181827,9,495,210,235,50
chung-kang,1384212,0,104,38,56,10
hellraiser666,8675,0,1368,508,689,171
watashi,107615,0,625,159,305,161
VS_Codes,46103,32,851,255,478,118
kolsarici,5000001,0,1,1,0,0
_kraut,4096,375,1641,214,844,583
cyclopaman,1021186,0,145,92,50,3
zyh9018,5000001,0,5,3,1,1
sureshs4188,5000001,0,4,3,0,1
SavinayPandey,583131,48,240,66,125,49
yrasik1986,5000001,0,9,9,0,0
manoj0606,9140,0,1350,402,704,244
aparikh756,5000001,0,0,0,0,0
steiner,892,91,2389,604,1259,526
polansky,1007863,0,147,51,76,20
dadboss,221182,0,447,166,217,64
sureshpsrj,1399705,0,102,98,4,0
furuyarei,1582122,0,88,11,42,35
papaya,1233,0,2208,500,1027,681
eilon,130317,65,576,154,283,139
Striker05,580080,0,241,65,123,53
superwesly123,2793,0,1794,677,887,230
doooo,5000001,0,0,0,0,0
Gaayuu,5000001,0,2,2,0,0
nibbas,128042,86,581,137,358,86
tungduong150105,1541228,4,91,27,42,22
smishra85,3565799,0,23,15,4,4
code_struck,1185,0,2234,494,1132,608
ctrlalt,26,0,3817,925,1989,903
cpcs,1,4740,3836,925,2004,907
NegativeIndex,6958,281,1445,227,637,581
mcc123,2961469,0,33,15,13,5
Davidoff,5000001,0,0,0,0,0
jiyeonnsong,3244852,0,28,24,4,0
solene,1134,8,2253,567,1141,545
manisharan_patel,2789090,0,37,32,5,0
AaryamanBhute,2332,1,1884,498,1043,343
seong4191,5000001,0,2,1,1,0
amiast,820401,0,180,49,94,37
xanderhuang,5000001,0,0,0,0,0
gandalf_grey,565800,0,245,105,135,5
sachin0102,45880,4,852,255,460,137
nakari1124,35069,0,929,231,526,172
Darkzone,5000001,0,0,0,0,0
secret_jc,470119,0,281,40,192,49
beginner1010,72368,-5,728,161,377,190
yogahmad,1461141,0,97,29,38,30
coderdhanraj,44095,56,863,253,441,169
Arnab37,1122134,0,132,33,71,28
11711675,5000001,0,0,0,0,0
3bkarm,216869,1,452,128,235,89
Thundervolt,124169,0,589,247,286,56
Nandhini_Dhinakaran,1497429,0,94,54,37,3
lagi_padi_hai,250166,2,418,125,242,51
datn2107,13419,12,1221,303,683,235
mncuchiinhuttt,1249073,0,117,43,62,12
ashanksingh1997,466057,2,283,61,113,109
ctzsm,44678,42,859,193,457,209
yurisantamarina,127395,8,582,173,327,82
magicwangqr,5000001,0,0,0,0,0
agnes_yinshi,3504962,0,24,17,7,0
datnguyen03,1358249,21,106,29,57,20
OTTFF,338,34,2892,714,1507,671
agrim07,123679,0,590,161,327,102
Sloth_junkie,47651,8,842,172,349,321
imcom,122496,0,592,88,96,408
WA_Automaton,1023812,0,145,36,69,40
hmatic,5000001,0,0,0,0,0
rio_90,1595969,4,87,21,44,22
WeiCheng666,5000001,0,0,0,0,0
TommyPang04,12898,1356,1234,269,747,218
k3232908,12848,8,1235,341,715,179
gcalegari,5000001,0,0,0,0,0
iilj,91305,0,667,169,370,128
ocden,5000001,0,0,0,0,0
goalboy,27,15,3817,924,1990,903
r_perez,52828,1,813,234,433,146
griffinmclennan,2338,29,1882,528,1016,338
ShaunDyson,6843,0,1451,447,570,434
A_Le_K,364,54,2856,711,1483,662
han3000,325992,51,358,73,202,83
zhaoyu121407,331720,0,354,107,177,70
Pranithaaa,3198234,0,29,25,4,0
user9412rh,5000001,0,0,0,0,0
PoIDZhenNanQu,5000001,0,0,0,0,0
przemysaw2,6353,409,1474,355,852,267
varsha_parth24,1078978,0,137,87,48,2
bragcat,91535,5,666,125,347,194
sathaye,5000001,0,5,3,2,0
Iamyxx,4416,8,1612,313,775,524
liuyinan,5000001,0,3,3,0,0
Abhi99999998,115638,0,607,68,337,202
swethaa2,5000001,0,7,6,1,0
Tatami,105004,5,631,156,358,117
muriegobal,5000001,0,0,0,0,0
Toototototo,5000001,0,0,0,0,0
peterrockwave,46047,0,851,232,478,141
Lilyflyinwind,811062,0,181,148,32,1
wx65,5000001,0,5,4,1,0
zarmi,5000001,0,8,2,5,1
MajesticAvocado,1845,0,1998,664,1102,232
serden,5000001,0,0,0,0,0
nasheedyasin,4128346,0,17,6,10,1
arpitdhangar9813,5000001,0,0,0,0,0
albaniliu,44839,0,858,204,476,178
user5542m,4362787,0,15,2,12,1
theeeeeeekhai,1984546,0,64,18,33,13
love_yoona,98592,4,647,183,410,54
Zonghao_Li,27966,1,996,288,518,190
HaiguangGe,5000001,0,0,0,0,0
Rook_Lift,96726,16,653,168,337,148
heroem,71666,6,731,334,315,82
williamo43210,5000001,0,0,0,0,0
egyptianprince2003,5000001,0,0,0,0,0
yunmengxianren,5000001,0,3,2,1,0
marmot0814,212861,0,456,121,254,81
yeongmoj94,883646,1,167,133,34,0
danio1024,2262429,0,52,28,24,0
DeepakSharma72,4974,47,1567,375,836,356
nivedita26,378543,0,326,141,161,24
ivankra,367862,16,332,78,188,66
yitanwang,557764,0,248,47,111,90
teamseshkuba,5000001,0,0,0,0,0
r-tron19,4338,152,1619,524,820,275
yge2,232729,0,435,96,240,99
mon0pole,198483,2,473,125,259,89
somade,5000001,0,1,0,1,0
juliany2,997479,0,149,45,78,26
manoflearning,1960807,0,65,16,34,15
bonejah,2628538,0,41,32,9,0
qian20,215418,0,453,126,265,62
sayannyaghosh,5000001,0,4,4,0,0
power1011,507152,0,266,33,107,126
Hustler2,1022877,7,145,41,77,27
justinwhill94,2778031,0,37,19,17,1
adityakumar09092021,128046,1,581,125,325,131
123GJWEQ2,12955,686,1233,311,664,258
tylerwang,20400,0,1089,263,579,247
notQueue,1126828,0,131,29,62,40
yatin_kwatra,4586,69,1598,381,822,395
tr1nity,1265,864,2198,697,1145,356
user7364T,5000001,0,1,0,1,0
vsdgfsgsfdhsgsd,30915,52,966,205,490,271
FlyawayTester85,16415,15,1157,335,606,216
avgstuboboge,2752435,0,38,10,18,10
prashant_kashyap9759,3158,42,1738,322,960,456
abhishekvanjani,33065,92,946,248,517,181
tornadoboxingvolcano,414635,72,307,89,168,50
songkai2012,5000001,0,0,0,0,0
leoltlaw,65947,24,753,202,435,116
nadermhanna,5000001,0,4,2,2,0
altcha,5000001,0,1,1,0,0
Fmindex,1853,21,1995,536,1113,346
Milman_generic,5000001,0,0,0,0,0
user6837V,4012589,0,18,11,7,0
leftshifted,2832,3,1787,465,1046,276
pingchungchang,108567,0,623,211,330,82
user1391Jq,5000001,0,0,0,0,0
cancui,5000001,0,1,1,0,0
st019,101136,0,641,136,382,123
jkq247,54390,0,805,161,410,234
user7454o,5000001,0,0,0,0,0
pavankumar5555,2478575,0,46,8,24,14
HIT_TOM,911422,0,162,35,88,39
shashwat_nayak,371787,0,330,87,185,58
fnwjkm,1383,48,2147,503,1152,492
wismer,1165248,0,126,34,71,21
cmagnemi,5000001,0,0,0,0,0
thesycat,14916,6,1187,316,616,255
felixhuang07,124477,192,588,221,270,97
yinqiaozhang,2166854,0,56,17,28,11
xs_pg,1627,2,2055,516,1074,465
Harasis_singh,4021177,0,18,8,9,1
svxvdp,25757,0,1018,272,585,161
paige3,2778188,0,37,32,5,0
qu1ck,23882,13,1042,276,571,195
olnyfcxwps,1453117,0,98,36,43,19
yubowenok,73151,0,725,164,383,178
LaSeineFirenze,28796,139,984,152,593,239
kai-chieh,96991,4,651,220,317,114
milomarsland,5000001,0,9,0,9,0
rishabhprasanna,8405,25,1379,338,742,299
Esteven,3657472,0,22,11,10,1
XORring-Samurai,442514,0,294,76,152,66
Altynai,623,0,2567,627,1297,643
d2intel,5000001,0,0,0,0,0
RaghuveerKajjam,5000001,0,0,0,0,0
bmaxey813,5000001,0,0,0,0,0
hybestever,1283566,0,113,47,59,7
Yuh_03,96690,1,652,151,363,138
DeadlyCritic,403044,0,313,76,183,54
chinesedfan,10973,2,1287,275,677,335
07dishwasherbob8,340250,7,349,95,179,75
warner1129,2792225,0,37,9,16,12
yvbhargav11,5000001,0,2,1,1,0
parthDOOM,99646,0,645,177,382,86
jianhualiu2,709426,39,204,53,121,30
Cipher_07,257849,276,412,78,234,100
aqxa2k,729270,44,200,66,101,33
KeiraSS,5000001,0,0,0,0,0
biharicoder,2088,293,1936,480,1046,410
eatcoc10,5360,31,1539,400,839,300
fpeterfalvi,3465,0,1702,418,944,340
pbmessi,1033,431,2306,605,1199,502
ashishssingh,1544552,0,90,24,65,1
MayankSavaliya,513481,0,264,70,128,66
jszqlew,309052,19,370,108,187,75
jasonch123,11867,0,1262,257,743,262
ll931110,1077849,3,137,43,66,28
RightHandElf,2702,227,1809,468,988,353
Zellon,21415,0,1075,177,648,250
Leonardo666,3120999,0,30,19,11,0
iowk,188947,0,485,114,254,117
XBB_HOME,43075,0,869,194,495,180
priyanjana,329390,0,356,202,137,17
rupnarayan001,22129,0,1065,331,570,164
ZihanWang98,701307,0,206,50,114,42
yuspy,1091502,0,136,28,65,43
Amitthaokar,5000001,0,0,0,0,0
pmnoxx,1931658,0,66,16,34,16
adityavkrm,10085,19,1316,307,715,294
MattTheNub,1859663,0,70,21,38,11
nikatamliani1,666925,0,215,55,101,59
abhilashlal,5000001,0,0,0,0,0
vanshcsingh,241681,10,426,133,232,61
AldyPy,48922,236,835,258,461,116
user2913Co,3747008,0,21,15,6,0
vmaksimo,1686493,18,80,19,48,13
sweetpotato2,2560,0,1837,453,974,410
KarimDylan,3292027,0,27,15,12,0
Guardian_Leetcode,124611,0,588,119,316,153
catinsidehat,1027558,0,144,23,93,28
touyou,3182151,0,29,24,5,0
hewhocodes,112719,0,614,203,338,73
chenyuguan10,913754,0,162,47,56,59
lixx2100,53220,4419,811,190,462,159
imjakechapman,2481744,1,45,38,7,0
heLeet,8599,11,1371,345,745,281
shik,231452,1,436,123,218,95
Naren123,5000001,0,0,0,0,0
user5575Xc,5000001,0,0,0,0,0
Conrad_123,1405,9,2141,495,1118,528
deltacancri,53626,12,809,225,429,155
nlnlnl,663480,0,216,48,110,58
devindip4,5000001,0,6,6,0,0
saikrishna17394,12337,0,1249,368,685,196
sarthak_293,269484,0,402,159,170,73
arnab_069,1363181,5,106,26,58,22
gaoqiaoheimu,238349,0,430,123,240,67
quyse,71152,0,733,176,399,158
khalil192,47232,53,844,211,480,153
AxeWithArrow,135390,0,567,104,354,109
MtSaka,884867,0,167,65,80,22
Yulian_Yarema,96683,1,652,320,225,107
looking_for_swe_internships,997637,0,149,29,71,49
icyphere,36946,70,914,221,494,199
temirulan,48600,1,836,249,464,123
Forget_LC,822,1,2438,589,1277,572
non_sense,53528,2,808,225,460,123
BossBobster,24821,7,1031,355,533,143
beyond_infinity,25524,23,1023,264,489,270
roaris,78381,1,707,168,396,143
clairesworld111,682396,0,211,50,102,59
jcirer,5000001,0,0,0,0,0
playingspent,129466,0,578,171,298,109
AdityaChawla2204,5000001,0,0,0,0,0
aryan_pundir,11815,1,1264,213,718,333
hruif,184400,0,491,149,248,94
gummz,5000001,0,6,1,1,4
Busity,5000001,0,0,0,0,0
waterdamagerepair,5000001,0,0,0,0,0
jonathansculley,3103,1,1744,500,939,305
sarahthr,5000001,0,0,0,0,0
leandrohiga,8518,0,1375,338,689,348
sedocirp,5000001,0,0,0,0,0
v_d_a,3663232,0,22,15,7,0
ChaouS,447968,1,291,69,166,56
USF-CS,365953,0,333,72,169,92
KerimKochekov,123486,0,590,489,80,21
pislbert,5000001,0,6,4,1,1
sparimy,5000001,0,0,0,0,0
samjack,212675,0,457,123,253,81
lxlck,5000001,0,2,2,0,0
wddd,7403,250,1422,323,764,335
adityaxkrishna,289019,0,386,102,230,54
ashwanthkannan,140127,18,558,130,270,158
meladrama,3420,22,1707,353,987,367
Tbeiko,5000001,0,5,4,0,1
s1613134,5000001,0,6,5,1,0
MarkovProcess,1962,7,1966,559,1045,362
sanmai_reddy377,136981,0,564,117,285,162
Bolaloon,2003378,0,63,19,32,12
jtea415,5000001,0,1,1,0,0
lotusblume,7431,2,1421,405,722,294
im_ironman_7,4154,12,1636,437,858,341
_DAle_,15899,442,1167,296,625,246
lolizmawtin,872573,0,169,56,100,13
mathbookpeace,5226,9,1548,425,835,288
yzzwgyf,559915,26,247,84,122,41
Roka,6114,493,1491,406,815,270
YCT,5000001,0,0,0,0,0
andreslel,191998,7,481,174,249,58
Akash_Hiremath,11375,-3,1276,404,747,125
ChickenTeeth,70283,0,736,203,427,106
meng-hsuan,243,0,3024,752,1579,693
programmer3824,1700237,0,80,15,48,17
btcmoon,20446,0,1089,249,600,240
samiksha_2105,247907,0,422,162,196,64
Limitless09,1012775,0,147,28,80,39
anurag,2415985,0,47,28,16,3
KakaHiguain,25157,580,1027,249,571,207
P2001,4959799,0,11,9,2,0
umang1975,2651,12,1820,508,1058,254
dmitry_ulyumdzhiev,35719,0,924,181,496,247
wisdompeak,124,213,3257,805,1732,720
QYHamster,1093966,0,135,35,64,36
rickqwertyiop,5000001,0,0,0,0,0
pentester,840931,-1,175,42,96,37
aminjonshermatov,3592,31,1690,461,954,275
Rainingcity,52661,178,814,185,462,167
ychzhou,360749,0,336,86,167,83
srinipolagani,5000001,0,0,0,0,0
chenhao4,323007,33,360,87,207,66
unolight,226623,0,441,82,224,135
yujie_sheng,5000001,0,0,0,0,0
Luiz_Doria,5000001,0,2,1,1,0
abd36,5000001,0,0,0,0,0
brthyyjp,18285,0,1124,316,554,254
opPO24,313290,0,367,163,150,54
naoya_t,85655,1,683,227,344,112
liuzhi3434,1817,0,2004,492,1077,435
dennis753951,381,38,2830,536,1657,637
haibowang91,3356647,0,26,9,14,3
yqifan83,18853,7,1114,219,639,256
mail2adityabharadwaj,235886,0,432,223,194,15
hayoung0_0,393707,0,318,55,213,50
aborisov,5000001,0,3,1,2,0
WheelerW,5000001,0,0,0,0,0
czjnbb,346,1713,2883,685,1492,706
yunkai96,238878,18,429,109,238,82
chrisplyn,456617,1,287,84,171,32
gabberstheTG,5000001,0,1,1,0,0
meharbatta,89064,0,673,152,343,178
lihaicoder,6797,18,1454,324,820,310
dskloet,49161,35,833,244,302,287
wangogogo,3185,18,1733,414,945,374
Chasey,151,94,3147,743,1672,732
shakhnoov,69787,0,738,206,393,139
goffrie,2287356,0,51,12,25,14
jzjsuper,162053,0,522,131,296,95
PythonicVarun,124261,1,589,150,334,105
rui-de,545074,5,252,80,131,41
FransV,389,73,2814,806,1519,489
pranithaatla,5000001,0,0,0,0,0
Anton.poseshchennyy,5000001,0,0,0,0,0
Harkness,7704,229,1406,358,717,331
timetoai,419,17,2776,711,1415,650
the_bharadwaj,312816,0,368,81,220,67
Romy67,1009979,0,147,53,62,32
Vertizes3,5000001,0,0,0,0,0
AshutoshSingh10,4666,23,1592,430,895,267
wenboz,596,0,2591,534,1369,688
chapintula902,5000001,0,7,2,3,2
salyu,11623,0,1269,306,690,273
Rochak,710495,0,204,90,106,8
xianweim,5000001,0,0,0,0,0
617280219,29256,133,982,237,486,259
lxhgww,225616,0,442,81,212,149
eoleedimin,1973355,0,64,24,38,2
utopiashuang,5000001,0,0,0,0,0
runoxinabox,107219,76,626,177,351,98
goldengoat,5000001,0,1,1,0,0
otash002,5000001,0,0,0,0,0
duyboy135,275898,0,396,72,227,97
joyizhou,5000001,0,0,0,0,0
serdes,2502,176,1847,431,1017,399
flamingsword100,5000001,0,0,0,0,0
Drjoachim,5000001,0,1,1,0,0
shoosha310,5000001,0,0,0,0,0
user0482Jn,5000001,0,2,2,0,0
MkaanTheKing,11663,0,1268,317,713,238
syc950,5000001,0,0,0,0,0
user5588kO,5000001,0,4,3,1,0
jyzlee,5000001,0,5,2,3,0
zdu011,8944,429,1357,351,810,196
xuan7701,891565,0,166,65,92,9
tsigave,487903,0,274,59,142,73
user9138V,5000001,0,1,1,0,0
grawlixes,778,5647,2462,651,1380,431
anshs_dev,400264,5,315,119,150,46
LeetCheatOfficial,418077,48,306,54,96,156
segment-tree,117384,14,603,187,310,106
ChoiSunPil,5000001,0,9,2,6,1
sameehaafr,1102332,0,134,74,58,2
ForgottenSemicolon,1935,147,1972,499,1032,441
ujasegroeg,5000001,0,0,0,0,0
Jerry-KK,5000001,0,0,0,0,0
cybsbbbb,2939,7,1768,443,981,344
66bro-CUNY,554494,44,249,72,130,47
farmerboy,3429,10,1706,459,918,329
panyan7,23329,3,1049,265,518,266
x34205,5000001,0,0,0,0,0
Fishron,7285,1,1433,322,782,329
ajinkya1p3,23075,9,1052,265,562,225
inmihir,4308,0,1622,366,910,346
SN1995dz,97135,0,651,167,321,163
genoxc,5000001,0,6,0,6,0
jchuthecode,323183,0,360,106,226,28
leetcode_dafu,429,2671,2759,794,1468,497
davyjing,17222,936,1142,332,663,147
lizaibeim,5000001,0,3,2,1,0
ming1016,5000001,0,0,0,0,0
duyiblue,1221146,0,120,28,59,33
Avuvos,4693,147,1590,496,851,243
Lizewsky,5000001,0,1,1,0,0
adityaanand-in,688979,0,210,56,123,31
l1l2,18909,21,1113,386,577,150
retawB,1141874,0,129,33,64,32
azhurtbayev,22226,17,1064,252,565,247
TravelFrog24,29241,27,982,235,542,205
ahyangyi,1191382,0,123,31,65,27
Naman_Pujari,2664640,0,40,31,9,0
suhaasswamy1999,5000001,0,0,0,0,0
Leetcodess,53468,7,810,307,430,73
sohamismukherjee123,5000001,0,1,0,1,0
user8383x,909,20,2383,674,1270,439
onakasuitacity,53284,1,811,248,435,128
Tinky1224,618,0,2572,718,1305,549
user5175Eb,5000001,0,0,0,0,0
sammochen,508,0,2676,690,1411,575
Taltonik,3727635,0,21,19,2,0
lixuanji,202609,46,468,151,240,77
anhpp,12660,36,1240,367,656,217
mshvets,67882,4,745,199,401,145
patricia00b,5000001,0,0,0,0,0
JakevK,34125,68,937,279,503,155
GanneKaJuice,3282039,0,28,5,14,9
colicon,784762,8,187,43,94,50
mbfibat,26186,32,1015,261,552,202
GoldenShadow5,62710,0,766,227,447,92
charizardcharizard10,4478916,0,14,5,9,0
arpitpandey992,6092,46,1493,314,823,356
im-ant,2584246,0,42,10,31,1
uffff,61889,0,770,128,404,238
_Fake4Fun,298998,0,378,91,211,76
kcsquared,1647,878,2049,517,1072,460
Totomo,5000001,0,0,0,0,0
uttam1235,3751533,0,21,8,12,1
Rox_,512148,0,264,77,125,62
asuka0731,188286,0,486,160,241,85
rickydunlop,5000001,0,2,2,0,0
SerdiukovDmytro,5000001,0,1,1,0,0
nthistle,229750,58,438,127,227,84
SpatzaCamino,1248850,0,117,30,58,29
ydchentw,1500,41,2098,503,1147,448
ben100,460926,0,285,35,82,168
yashmahendramistry,4385545,0,15,13,2,0
lethan3,930835,2,159,62,71,26
Astitva1508,81734,26,696,114,372,210
an_addict,257078,0,412,79,287,46
DrunkTemplar,532253,39,257,73,134,50
Anastasia7,5000001,0,0,0,0,0
songhayoung0_0,421925,0,304,74,158,72
rpn2eax,1073,268,2281,671,1152,458
parag776,70026,53,737,174,424,139
gofb,106300,0,628,161,332,135
sdutill,5000001,0,2,2,0,0
anewperson,1626232,0,84,27,40,17
Rohitrks2003,13716,1,1214,267,701,246
supreme21sm,1200705,4,122,55,65,2
yash_vish87,775,222,2463,763,1405,295
maraveska,5000001,0,0,0,0,0
CaptainD,5000001,0,1,1,0,0
Major2021,1611209,0,85,41,43,1
serenahansraj,5000001,0,0,0,0,0
Kevinxiehk,719817,1,202,49,112,41
gourav2001k,4823,27,1580,405,876,299
ItsNoOne,5000001,0,5,1,4,0
jmyanxiang,2484,701,1850,384,973,493
mcy4ever,136,14,3208,809,1685,714
aarongmx,5000001,0,0,0,0,0
Ometek,3383,56,1711,545,888,278
uchiiii,310357,0,369,107,184,78
anorange0409,131802,1,573,135,333,105
doze,1640401,0,83,12,66,5
zack24,5000001,0,1,1,0,0
mostleg,172419,0,507,139,278,90
IceKnight1093,1314298,0,110,31,54,25
Debangshu_M,154120,0,535,167,277,91
navaelvis,2702722,0,39,17,18,4
Tier-3ian,1114734,1,133,39,66,28
singh_deopa,498,0,2681,719,1456,506
pjshwa,4882,2,1575,350,890,335
m-rstewart,1766442,0,75,63,12,0
gonglinyuan,414372,0,307,76,150,81
14417335,8180,74,1387,335,754,298
Laura1021678398,5000001,0,4,3,0,1
Chalkydoge,1358513,0,106,28,55,23
_Danie1,171590,59,509,141,269,99
TWchaoYi,5000001,0,3,3,0,0
Sai-17,621441,0,228,82,117,29
sonminjae,5000001,0,0,0,0,0
natgeo,4257214,0,16,13,3,0
therealpratyushraman,370819,4,331,64,200,67
kytabyte,6950,4653,1445,370,774,301
Lambert360,1637027,0,84,23,43,18
SoulOfCinder,73732,0,723,162,414,147
Anna202020,5000001,0,1,1,0,0
ExRoc,58258,0,786,233,407,146
niki18,5000001,0,0,0,0,0
XAXAEBATb,274271,0,398,121,207,70
belphegor_,1883281,0,69,21,36,12
Aylup,18467,115,1121,257,611,253
muhandae,8074,85,1391,335,776,280
Amit-S-Sahu,66527,2,751,230,398,123
JackBai2001,5000001,0,9,3,4,2
naazii,2579439,0,43,6,24,13
preethamreddy2226,1288441,1,113,38,57,18
meemi,1851,13,1995,501,1111,383
lIlIlIl,320252,0,362,75,177,110
anuragawasthi,5000001,0,0,0,0,0
hongyili,2362,6,1874,338,880,656
albertwsw926,5000001,0,1,1,0,0
Ng1OYL8pKz,3343635,3,27,7,13,7
123454321,857475,0,172,49,91,32
jackwright1sec30,5000001,0,5,2,3,0
GreatoPheonix,1645355,0,83,50,31,2
bhinde,443792,0,293,68,191,34
jo7p,4128,1,1638,396,879,363
nikhil__thogaru,131185,4,575,24,54,497
ericsoso,899843,0,164,68,85,11
cf2,1245,9,2204,540,1219,445
clonemaasterUwU,1605323,0,86,21,41,24
log1,5115,4,1557,425,868,264
krists,136179,12,565,148,298,119
ballon,1157226,0,127,33,63,31
ndobrikov,3524279,0,24,20,4,0
mhmakelvin,4534,5,1603,449,889,265
