Username,Ranking,Reputation,All_Solved,Easy_Solved,Medium_Solved,Hard_Solved
dush1729,4452,40,1609,449,886,274
vmarunin,181,2,3085,798,1562,725
nvee,2584405,0,42,26,16,0
blin00,1601355,0,86,24,40,22
shnirelman,1038579,0,143,41,43,59
ramandeep_kour,5000001,0,0,0,0,0
gyosh,872023,5,169,41,98,30
mrunankmistry52,4580,264,1599,459,854,286
macroz,1639882,0,83,28,47,8
Anarchy,29253,25,982,180,549,253
Maristie,1543,637,2085,465,1150,470
edwardcheng,1701364,0,79,38,35,6
Cherry_Jain,2290752,0,51,16,34,1
RuntimeErrorAutomaton,204304,18,466,158,253,55
kritikmodi,121610,0,594,172,332,90
marchem,104662,6,632,233,318,81
BlackpinkLisa,288291,173,386,95,215,76
parasthecool123,843106,0,175,53,100,22
pauldb89,889273,5,166,26,51,89
bigmiaomiao,148671,0,543,135,269,139
anandmessi10,3018823,0,32,28,4,0
lozy219,906,1,2383,568,1264,551
david_hoengy,2033,246,1949,431,1015,503
Mayanksood,101169,0,641,227,329,85
user0994Zp,1689508,0,80,24,53,3
jljljljljl,8078,39,1391,300,764,327
user3013OR,1343,0,2164,493,1208,463
maester_,1752640,0,76,19,39,18
JAIVAL8,4137411,0,17,7,10,0
jacobj2,2921,85,1773,486,936,351
Deepanshu_Dhakate,6055,13,1496,336,896,264
naruto0323,179257,0,498,131,299,68
Aussie24,56016,26,797,182,455,160
ankan2526,17652,16,1135,362,581,192
AshwinR,5000001,0,0,0,0,0
googlweknoall,6495,0,1470,416,770,284
kirya2604,203627,5,467,130,262,75
unicorn_15,2312339,1,51,17,26,8
kinshukarko94,5000001,0,0,0,0,0
SrinivasEsapalli,5000001,0,0,0,0,0
arghyadeep_coder,39387,-36,895,229,492,174
3sophiee89100yp2,5000001,0,0,0,0,0
ManuShi98,13519,13,1218,266,673,279
th_36,39438,68,895,229,493,173
kresna,6770,0,1455,356,802,297
13918964864,5000001,0,0,0,0,0
abishekwdaru,2697495,0,39,11,25,3
hskd123,5000001,0,0,0,0,0
Babita_90,4137510,0,17,12,5,0
wishingjar,819191,136,180,55,93,32
jamshedmd1111,256371,0,413,98,222,93
Nagarjuna_nags,1547892,0,90,39,49,2
66brother,3325,316,1718,440,872,406
jay159,4014173,0,18,17,1,0
xiaochong1117,1226,9,2212,441,1371,400
swss123,894638,0,165,41,89,35
hamray,99796,0,644,237,302,105
simonesestili,5509,1,1529,394,885,250
fxfxxxfxx,29403,1,981,195,466,320
mahbuba01,458,0,2716,575,1455,686
Saja_mohammed,5000001,0,0,0,0,0
olimpo,75150,4,718,183,397,138
FoolPerson,1207506,0,121,24,69,28
artAbhi,9112,40,1351,289,718,344
dawnmagnet,537709,0,255,49,124,82
suiyuan1992,115521,24,607,114,349,144
vominhtriet02,13296,3,1224,300,717,207
swethasrihari,3020449,0,32,27,5,0
al-the-x,5000001,0,1,1,0,0
cuiaoxiang,8782,847,1363,335,733,295
jacob-greenfield,1602,40,2066,593,1089,384
nkemakolam,5000001,0,0,0,0,0
kasinathansj,3139,7,1740,446,969,325
SamyakSinghania,1428829,0,100,21,47,32
RiverHorse,1388416,0,103,38,58,7
akhileswarchikku,5000001,0,0,0,0,0
Gunjanh10,507287,0,266,109,151,6
xymabinogi,1571,31,2077,374,1090,613
chloeliyilin,2397034,0,48,37,9,2
Jiang_Li_Rui,1364425,21,106,26,49,31
IC_Br0ken,223501,0,445,112,251,82
amj247,2240477,0,53,21,30,2
Maruzensky,105,81,3343,814,1757,772
maxxon_rykar,4620563,0,13,4,6,3
SupervisorMayHap,1067,42,2283,545,1224,514
soghosh,35462,0,926,162,540,224
rightjoin,4282906,0,16,5,5,6
TheRaven,96698,0,652,161,353,138
badgergo,1235844,0,118,32,70,16
CosmicWolf,29651,4,977,289,526,162
jcfernandez,7337,45,1426,402,737,287
Xiaohao2019,58453,65,785,184,448,153
remidinishanth,4197,9,1632,414,913,305
chikubabua,5000001,0,0,0,0,0
somanaik,52456,2,815,243,436,136
kumarfeldspar,513025,1,264,70,129,65
cdarellsalazar,4369705,0,15,10,5,0
4ty7,721989,287,202,27,83,92
trchen,316991,1,365,77,206,82
itzRaghav,57340,22,791,204,429,158
g129512,32664,4,950,188,475,287
IAmConfessor,1644416,3,83,22,42,19
mynameisram,5000001,0,0,0,0,0
hululu0405,3113,56,1743,435,984,324
sketcher_nig8,304161,0,374,110,208,56
icareevents,281496,0,392,95,202,95
fedfan,107692,0,625,161,357,107
vermachakshu,20805,7,1083,271,575,237
ChangkunLi,590,19,2596,617,1382,597
Lucas595,18302,0,1124,294,660,170
forraiovaveronika,5000001,0,0,0,0,0
yotl,5000001,0,0,0,0,0
zhanhb,5283,77,1544,293,705,546
happypotato1207,314786,0,366,134,176,56
rauschaj,3819,35,1666,502,855,309
fsqhxrcjw,379,134,2833,707,1473,653
caobaohoang03,8192,104,1387,401,726,260
officialMKL,5000001,0,6,3,3,0
Dragon_Fly_02,254892,0,414,116,234,64
ak_shrana,31532,10,960,255,536,169
Sambhav-Jain,16167,15,1162,374,602,186
Cookie_Cream,267790,1,403,159,192,52
neeraj745,128383,10,580,157,321,102
AbsEnocder,5000001,0,0,0,0,0
pongityping,5000001,0,2,2,0,0
enenhaha,5000001,0,0,0,0,0
judoman,586956,3,238,78,140,20
levemation,88952,1,674,213,349,112
fokusd,1854646,0,70,44,26,0
agilaz,2022325,0,62,2,46,14
sunilmandloisgsits1996,5000001,0,1,0,0,1
Algo-Messihas,9119,309,1351,397,729,225
belaybiniyam540,5000001,0,0,0,0,0
ScorpioDagger,30215,128,971,281,531,159
ahsu198,175536,0,503,122,289,92
welevelupcarehab,5000001,0,0,0,0,0
cheezvarshu,5000001,0,0,0,0,0
Wenwen326,5868,0,1505,359,835,311
catalin7,412143,1,308,89,158,61
linktome,5000001,0,0,0,0,0
martin0327,1607,36,2062,556,1103,403
120cs0005,1178372,0,125,37,65,23
albertxwz,549754,0,251,59,115,77
realpzhang,5000001,0,0,0,0,0
seijia,1156220,0,127,44,75,8
chinnu11,1091184,0,136,19,60,57
adityaatcodeleet,38639,12,901,223,488,190
nsirsaida,5000001,0,0,0,0,0
bsbq,5000001,0,0,0,0,0
msp2249,2918413,0,34,22,11,1
sobols,2495,0,1848,466,995,387
mastre,371692,0,330,77,122,131
choudhary463,202598,0,468,372,65,31
ronnith,219344,1,449,97,266,86
AlphaTurk,3069893,1,31,12,16,3
fwfjs,191317,0,482,145,268,69
wyh9346,75990,1,715,192,406,117
cloudstrife0142,2888,510,1777,461,999,317
rayapureddijiteshkumar2001,5000001,0,0,0,0,0
yk000123,66838,35,749,104,335,310
27rabbitlt,100769,0,642,130,336,176
Akshatbuddy,5000001,0,6,6,0,0
ahvevm,5000001,0,1,0,1,0
ASanjar,5000001,0,9,7,2,0
frostdemonn,12310,0,1250,313,614,323
Ankit_332,1791865,0,74,19,37,18
kweezy,1055401,11,140,38,70,32
maksim1744,3655183,0,22,5,12,5
penguin133,1500404,0,94,29,37,28
rajatgoyal376,335611,0,352,112,175,65
iamc7054,193660,1,479,138,259,82
erionix,5000001,0,0,0,0,0
roshansin13,5000001,0,0,0,0,0
MKJiaaa,5000001,0,1,0,1,0
Harshkriplani,50233,1,827,248,422,157
m154145,5000001,0,4,4,0,0
timotoa,2481,133,1851,484,1016,351
foorest,38078,1,905,211,461,233
nsk_91,333050,0,354,93,190,71
anishde85,115199,228,608,79,256,273
DBabichev,1062,43935,2285,496,1214,575
user8903C,5000001,0,2,2,0,0
PKUGoodSpeed,14286,71,1200,312,667,221
leannahue,1182676,0,124,45,73,6
i_love_xiaoshagua_cpp,7674,48,1408,382,794,232
DariaMosk,1855168,0,70,35,32,3
zunyiliu,1342,25,2164,557,1103,504
Sketchy,5000001,0,0,0,0,0
hub123,5000001,0,0,0,0,0
ianlini,192727,81,480,121,256,103
wanghy012,365277,0,334,86,181,67
T_Stream,20071,0,1095,282,619,194
akshayxml,10669,22,1297,272,724,301
Thinking,1481848,0,95,31,61,3
bundelavikram0201,727786,3,200,92,88,20
alexlinzhai,831589,0,177,56,89,32
cjyang1230,1097,0,2269,669,1231,369
chauncey123,2627418,0,41,32,9,0
hungnguyen19062003,5000001,0,3,3,0,0
nnkitsaini,75463,73,717,111,373,233
wsyzmmx,184304,0,491,192,223,76
CUNY-66brother,5458,289,1532,404,798,330
Pogger,1192375,0,123,32,67,24
swolbrah,5000001,0,1,1,0,0
shubh-pandit,5000001,0,0,0,0,0
ASHLER66,537271,0,255,72,126,57
shobhitmaheshwari,5000001,0,9,6,3,0
NoamBJ,2490016,0,45,33,10,2
laohuyou,5000001,0,2,1,1,0
madlogic,229745,9,438,118,245,75
IsaacMoris,517928,0,262,58,137,67
xinyiii,5000001,0,7,7,0,0
Chaeyoung_Stan,1093685,1,135,38,67,30
a124001,4472822,0,14,4,8,2
rowena.lily.lee9894,5000001,0,0,0,0,0
aman_2005,3107,61,1744,489,928,327
user5847gt,3650228,0,22,9,11,2
bhat_shrinidhi_r,1302984,4,111,36,63,12
chelseamjames,1598656,0,86,44,39,3
dabhihardik,5000001,0,1,0,1,0
itishagarwal2000,15628,5,1172,343,629,200
ericlege98,38563,53,901,211,495,195
siminno77,40701,0,886,16,808,62
BetoSCL,27609,408,1000,284,513,203
hjeff2005,38276,27,904,379,393,132
a.jindal.ew,5000001,0,0,0,0,0
ivanc-e,52582,0,815,116,408,291
dnuj4097,474,21,2703,514,1669,520
Laurant,2260873,0,52,10,33,9
shubh12et1062,5000001,0,6,4,2,0
hup-hup1,1451260,0,98,22,49,27
seeean,7732,22,1405,385,751,269
antoniogarciaberistain,5000001,0,0,0,0,0
familylawyerofsaskatoon,5000001,0,0,0,0,0
vaibhav2740,31448,67,961,170,639,152
Arch_of_Triumph,808041,0,182,70,88,24
Hamana71,2520761,0,44,28,15,1
y2587w,870,4,2407,623,1235,549
aztk,101362,0,640,153,340,147
chloekcq,34264,0,936,138,619,179
seelengxd,655836,0,218,80,123,15
chuchuching,20870,4,1082,251,583,248
kmakanksh48,5000001,0,10,9,1,0
mopriestt,62897,144,764,183,390,191
nwesley,2260731,0,52,38,13,1
Umar_x,2933266,0,34,32,2,0
Fr0benius,93246,0,661,158,366,137
Harika_k,2828827,0,36,22,12,2
makdizi,5000001,0,0,0,0,0
SiyangShao,216637,0,452,114,251,87
user1640OD,2527275,0,44,16,22,6
user2062fQ,1957052,0,65,16,32,17
paras3019,1230717,1,119,33,66,20
warrend555,2970645,0,33,16,17,0
wssx349,16259,31,1160,352,566,242
kriti777,3574020,0,23,7,14,2
omuraisu,102439,4,638,126,311,201
keymoon,1687242,0,80,22,40,18
anujdhillxn,47788,37,841,179,449,213
vrangr,17645,4,1135,313,646,176
bruce-wayne99,64379,4,759,208,424,127
Mefarnis,384,46,2826,757,1520,549
DarrenBoi,1336111,0,108,88,18,2
Manan04,68483,3,743,236,405,102
Nandy_Magic,1382266,22,104,31,57,16
williamljb,681183,0,211,63,107,41
abhishekkumar_,3183393,0,29,10,19,0
mohit409194487,448632,0,291,83,148,60
karthikeya090,1002794,0,148,27,63,58
MaskRay,51489,107,820,175,427,218
kathanpandya507,5000001,0,0,0,0,0
swayamkumar,4528785,0,14,14,0,0
siganai,2527544,0,44,12,22,10
physxu,4803,0,1582,289,867,426
ngmq,25664,9,1021,246,504,271
Hokage25,2703,0,1811,298,1074,439
mtewathia99,304992,186,373,83,200,90
Akatsuki_,2419,0,1862,462,1014,386
user7557y,4792770,0,12,12,0,0
saumytri,5000001,0,4,2,1,1
brinuke,3049,1132,1752,468,862,422
yh157612,8525,5,1374,341,771,262
nkale04,5000001,0,5,3,2,0
a0518,470,8,2707,524,1517,666
yashshah1,5000001,0,0,0,0,0
B0SSPR0GR4MM3R,5000001,0,1,1,0,0
areke,54397,16,805,260,402,143
gsph,5000001,0,8,6,2,0
mdakram28,6623,232,1463,368,795,300
silva_b,5000001,0,0,0,0,0
unknown_ajay,16216,21,1161,256,665,240
Mukul7959,5000001,0,0,0,0,0
otogarose,83224,0,691,172,356,163
rebeccasun,294209,0,381,103,220,58
ShashankZobb,3543,13,1695,458,914,323
The_2nd_Derivative,1767,14,2017,550,1111,356
src0207,5369,209,1538,363,783,392
jsqiu098,5000001,0,0,0,0,0
Drew_,168400,0,513,139,278,96
ayamam1127,5000001,0,0,0,0,0
kla15,4804030,0,12,12,0,0
zh_jerry_yu,55853,116,798,190,441,167
NewbieHMT,5014,5,1564,236,933,395
QAMichaelPeng,4521,38,1603,380,903,320
cy171,393,76,2810,584,1422,804
_DaNeK_,64995,0,757,197,424,136
jashpreetmalhotra,2181499,0,55,30,19,6
1.2191E+11,5000001,0,0,0,0,0
lessonfour1234,5000001,0,4,3,1,0
siwei0607,5000001,0,2,1,1,0
LosingNowLosingLate,131503,0,574,121,400,53
xy-li,1654,162,2046,495,1094,457
gjeffinho,5000001,0,0,0,0,0
pavellunevIncrdbl,5000001,0,0,0,0,0
danzhi,112,177,3295,764,1734,797
shdut,882775,0,167,35,81,51
prodessa,5000001,0,1,1,0,0
rdkl,39540,35,894,203,498,193
toonewbie,525236,1,259,147,82,30
teades,5000001,0,1,1,0,0
binah,5000001,0,5,2,3,0
leet_go,95629,328,655,138,346,171
ColetteWheat,5000001,0,0,0,0,0
joshbsteinbach,2418258,0,47,37,10,0
satvikb,369712,2,331,69,202,60
__math,2550614,0,43,11,20,12
doxuanviet1996,144472,0,550,135,291,124
echen5503,130651,22,576,142,208,226
riyushhh,6898,228,1448,264,757,427
user6403Hl,4994,2032,1566,746,543,277
daniel410,5000001,0,0,0,0,0
Aabhas99,16391,0,1157,309,636,212
k1suxu,1176020,1,125,55,54,16
Kinon,194742,0,478,112,258,108
user6523SN,5000001,0,0,0,0,0
luisalima,4106151,0,17,15,2,0
EXBORN,3712,272,1678,440,903,335
singla__rohan,12286,117,1251,290,730,231
abhayg_07,438486,0,296,76,158,62
OBMIJ,5000001,0,0,0,0,0
felipeyepez,1804689,0,73,43,29,1
NEU20133823,20921,4,1081,274,562,245
tejas_tss,391319,2,319,108,179,32
LGM70,106100,0,629,207,351,71
chakrabortyambar,5000001,0,0,0,0,0
walrust,3232476,0,28,15,13,0
nazeeeef007,2056,0,1944,516,950,478
thinker99,1296515,1,112,28,52,32
yuya.rong.3,681145,0,211,52,124,35
zephyrr,7343,0,1426,360,786,280
KR_HayoungSong,524519,0,260,67,133,60
twitch_tv_qiqi_impact,1768,4447,2017,432,1008,577
tudorx28,5000001,0,0,0,0,0
rarakasm,2121,64,1927,452,1083,392
waluigi120,424762,1,302,84,149,69
prateeka,5000001,0,4,3,1,0
darv,5000001,103,3,2,1,0
jwseph,4990,455,1566,465,800,301
xietiansh,1818510,5,72,19,42,11
harryB17,31978,26,956,222,536,198
Natasha24,5000001,0,0,0,0,0
Akash_0P,4989,18,1566,347,814,405
adimb1,5000001,0,0,0,0,0
matchalatte,14019,0,1205,359,708,138
CutSandstone,1026,48,2310,586,1195,529
ZhongnianTao,816614,0,180,39,94,47
HMAXS,685043,0,210,22,69,119
LeviZhang1993,1605,6,2065,527,1067,471
malfple,459324,0,286,76,149,61
ac130h,3528,10,1696,377,975,344
TheMarioFan102,426193,0,302,76,177,49
A53320872,276011,0,396,98,247,51
patrick-gu,91976,0,665,199,336,130
8730199,489489,0,273,87,131,55
boringleetcode,1522527,0,92,18,54,20
mofadlalla,5000001,0,5,5,0,0
EDIEEE,297100,0,379,77,169,133
null_awe,25084,253,1028,432,530,66
ecottea,2681664,0,40,12,21,7
han910917,5000001,0,5,2,2,1
tanzir,4603689,0,13,12,1,0
ainta98,3497087,0,24,5,10,9
izaj_iitkgp,37341,279,911,205,451,255
swrush98,848,0,2420,735,1279,406
hkmaxi,900,1,2387,605,1264,518
Harsh_kunwar,1831781,0,72,14,42,16
asdfjlkwejiro,607012,0,232,78,123,31
RealFan,334945,765,352,76,177,99
thahn106,2936597,0,34,14,13,7
dbsic211,2040499,0,61,18,30,13
Axoryn,1234255,90,119,24,69,26
issac2033,5000001,0,0,0,0,0
Rick_Scott,143470,0,552,135,306,111
whynot4,7372,164,1424,352,782,290
forzil,116440,10,605,85,402,118
pcwuu,62579,0,767,172,424,171
nifeshe,833870,0,177,47,82,48
meyi,604250,3,233,27,109,97
zanj0,90,44,3415,765,1816,834
OmerAydin,5000001,0,0,0,0,0
moririn2528,468242,0,282,84,148,50
Atg_,159045,0,527,138,300,89
Honaldo,87425,5,678,116,408,154
Gaurav3478,94075,3,659,153,381,125
souradeep19999,391198,0,319,71,195,53
danieltonad,5000001,0,2,1,1,0
OmMotewar,2710356,0,39,25,13,1
zaneyu2005,1642255,0,83,20,40,23
askdfjlas123,568804,4,244,72,129,43
ye15,103,13353,3339,865,1759,715
hs1610,5000001,0,0,0,0,0
panshane56,267060,0,404,81,170,153
bfusion,2061820,0,60,17,41,2
Altair_45,170252,0,511,138,304,69
satyasaivarun,1918528,0,67,45,21,1
neal99,25505,1230,1021,223,559,239
cchao,10822,1,1292,314,691,287
Rocknite,100600,0,642,174,337,131
aursu,2138590,0,57,30,27,0
user7656MT,5000001,0,1,1,0,0
ccctttd,48352,3,838,236,463,139
iyerke,67944,11,745,199,419,127
saltfishwhowantbeadalao,5000001,0,0,0,0,0
shiqiantan2018,5000001,0,1,1,0,0
mufti,694,17,2519,633,1242,644
binuasokan,4239441,0,16,11,5,0
spike1236,395240,0,317,81,167,69
yolo12345,1195354,75,123,34,64,25
drewmcreynolds,5000001,0,0,0,0,0
yzhao1,822809,0,179,32,96,51
amitSha,43743,3,865,212,440,213
fge16,812332,0,181,31,120,30
MuyeLi,813187,0,181,57,107,17
2003Vamsi,1143960,0,129,66,62,1
nots0fast,1734577,0,77,19,37,21
abhidot,494843,0,271,73,144,54
gateshipone,586922,0,238,79,144,15
__luffy__,12318,1,1250,313,700,237
twangal,517062,0,262,44,124,94
peicd7699,210797,0,459,72,230,157
Peak_2250_MID_in_King-of-Glory,12058,163,1257,295,758,204
Brook_C,137229,0,563,149,333,81
syeran213,412065,0,308,79,177,52
DheerajG21,5000001,0,0,0,0,0
jojayoh,3960,0,1653,513,925,215
vuduyanhhoang33,847012,7,174,34,77,63
arinamurasheva,5000001,0,2,1,1,0
zzl1994,5000001,0,0,0,0,0
john0312acc223,1158957,0,127,31,68,28
algoriding,3441002,0,25,25,0,0
tnebiyu,3248300,0,28,17,10,1
RdxPanther,2581,0,1834,498,918,418
bry_rp,156313,0,531,163,299,69
marsdavletshin,608,0,2582,730,1364,488
yanoka23,5000001,0,1,1,0,0
didwhddks,4343,0,1619,508,832,279
nandakishore323,347949,-2,344,24,136,184
PIng0,19438,5,1105,251,659,195
fizzmonkey,5000001,0,0,0,0,0
daiw10,4920137,0,11,4,6,1
derack180,481147,0,277,91,159,27
yonghui-zhang,5000001,0,0,0,0,0
Hughstudy,10353,0,1306,314,724,268
mathcruncher,131886,0,573,107,337,129
ash98ketchum_,30229,26,973,280,550,143
gabrieldwu,2881669,0,35,9,16,10
CCDV2,1296698,0,112,30,60,22
kmjp,1197,0,2222,533,1111,578
snamy520,131746,0,574,134,317,123
BERNARB01,126938,4,583,152,347,84
celesta,2162074,0,56,14,27,15
baohiep,7015,5,1442,357,815,270
user5860c,2645382,0,41,7,20,14
liivan256,518709,6,262,103,125,34
miku_39,1143041,0,129,22,70,37
samay_var,65419,56,755,116,256,383
xinyongtian,5000001,0,0,0,0,0
tomsangotw,3085,1,1746,457,960,329
razimantv,1527,46,2090,519,1097,474
Abhi_Srivastava,121724,2,594,161,313,120
chris321,4355749,0,15,9,6,0
Leminspector,35811,0,923,260,502,161
Zabusa,5000001,0,0,0,0,0
danchaofan001,5000001,0,1,1,0,0
yrclamb,700,0,2516,740,1344,432
G26KarthikK,940652,0,158,36,85,37
jokyjang,264897,0,405,139,236,30
66glory-CUNY,1960261,19,65,18,35,12
yz09,325850,4,358,130,176,52
olney-bell,5000001,0,0,0,0,0
saffah,1732943,0,77,19,48,10
tang880501,5000001,0,0,0,0,0
reasonsolo,1654665,0,82,11,59,12
SephenLin,5000001,0,0,0,0,0
valestel,284490,115,389,115,239,35
morales_sts,5000001,0,0,0,0,0
SSYernar,489187,0,273,64,124,85
prajwal_733,15860,0,1168,341,612,215
VarunR,163573,1,520,182,252,86
adrif,5000001,0,0,0,0,0
kachhuaa,333864,0,353,106,199,48
jojo10098,5000001,0,4,4,0,0
bramar2,4574,752,1600,425,851,324
codeworm96,83695,26,689,235,374,80
quentinlam,5000001,0,0,0,0,0
Chris_T,1613441,0,85,23,41,21
mgg1118,5000001,0,0,0,0,0
leetcode_200801,1583916,0,87,21,44,22
sseemaku,5000001,0,0,0,0,0
xiuyuan-cao,667448,52,215,27,139,49
n1096706,5000001,0,0,0,0,0
teemu_ryyti,50348,3,827,215,474,138
h0302097,5000001,0,6,1,5,0
Woldenes7,5000001,0,0,0,0,0
hail-exe,5000001,0,10,8,1,1
rudrabhardwaj,5000001,0,0,0,0,0
ap1008,145190,0,549,199,277,73
ukmastercom,42202,7,875,284,518,73
LayzerK,910,168,2383,584,1305,494
Jigcecile,364264,18,334,118,192,24
parakhatovkanatpks,5000001,0,8,4,3,1
VIBE09,419256,0,305,71,159,75
RedHeadphone,13164,459,1227,391,670,166
plasmatic,630573,2,225,46,100,79
olderworse,384966,0,323,86,163,74
stupidRR,238194,81,430,101,212,117
Chandrachur,8584,35,1372,369,755,248
shadofren,545,14,2643,626,1433,584
Roshan_1229,17894,0,1131,339,620,172
Ompatel45672,58416,0,786,222,439,125
BoyuanYuan,166164,3,516,206,258,52
darkhorse081989,2516433,0,44,9,26,9
profchi,130,257,3219,801,1684,734
cijin,60903,-1,774,157,372,245
_k_yoko,4135797,0,17,9,8,0
HW87,36375,33,918,238,509,171
guptaasmit1,335428,0,352,117,223,12
test_th,907568,0,163,50,83,30
hcchiu,3151,36,1738,423,965,350
NAHSNAHS,5000001,0,0,0,0,0
dpm7,5000001,0,0,0,0,0
vonrong,46788,0,847,202,470,175
caoyeye4,5000001,0,0,0,0,0
Zaheysm,5000001,0,0,0,0,0
widow,439712,0,295,98,166,31
Lucasfarias,5000001,0,0,0,0,0
Rupesh_Das,360399,0,337,74,201,62
arnavkj11,858401,0,172,48,94,30
hahahiehie,274,55,2982,603,1542,837
harish8020,5000001,0,0,0,0,0
Liam66,407163,0,311,69,164,78
pedro,5454,673,1532,410,825,297
satyabrata25,5000001,0,0,0,0,0
rangexero,20547,0,1087,256,636,195
alex_salcianu,821,73,2436,576,1361,499
Watchout,5552,0,1526,215,834,477
ishaan____,8514,7,1375,323,720,332
SophieHatter,3507,2,1698,439,922,337
yijiezhu,116831,0,604,113,363,128
liupengsay,1052935,0,141,37,69,35
cagacu,4237645,0,16,0,16,0
sjpetrick,5000001,0,0,0,0,0
killer-whale,1377,124,2149,604,1193,352
hi_sunny0413,5000001,0,0,0,0,0
huynh0409,5000001,0,0,0,0,0
andrew_alper,2750891,0,38,24,14,0
Shagufta-farzana,5000001,0,0,0,0,0
arvindf232,2066388,0,60,17,26,17
HanaYukii,22997,5,1053,299,568,186
melonbar,5000001,0,0,0,0,0
7evane323fc2,5000001,0,0,0,0,0
user2682w,5000001,0,0,0,0,0
izackwu,24150,621,1039,285,557,197
everule,3242007,0,28,7,15,6
K260836,1493964,0,94,47,44,3
galencolin,590376,0,237,93,91,53
